"","vars","hazards_conf","pvalues","casetypes"
"1","CD4(107)","6.18e-01 (6.99e-02, 5.47e+00)","6.66e-01","All"
"2","CD8(107)","1.03e+00 (4.17e-01, 2.54e+00)","9.51e-01","All"
"3","CK(107)","4.39e-01 (1.68e-01, 1.15e+00)","9.27e-02","All"
"4","FOXP3(107)","2.34e-02 (1.28e-05, 4.28e+01)","3.27e-01","All"
"5","CD20(107)","1.16e-02 (9.74e-07, 1.37e+02)","3.51e-01","All"
"6","CD68(107)","8.19e-01 (1.88e-01, 3.57e+00)","7.91e-01","All"
"7","CD11c(107)","1.95e+00 (2.54e-01, 1.50e+01)","5.20e-01","All"
"8","CD56(107)","5.32e+00 (2.07e-01, 1.37e+02)","3.13e-01","All"
"9","CD4(82)","2.98e+00 (3.84e-01, 2.31e+01)","2.97e-01","Pleural"
"10","CD8(82)","7.75e-01 (3.03e-01, 1.98e+00)","5.95e-01","Pleural"
"11","CK(82)","4.56e-01 (1.63e-01, 1.27e+00)","1.34e-01","Pleural"
"12","FOXP3(82)","3.72e-03 (1.66e-06, 8.33e+00)","1.55e-01","Pleural"
"13","CD20(82)","3.83e-03 (3.37e-07, 4.35e+01)","2.43e-01","Pleural"
"14","CD68(82)","1.49e+00 (2.05e-01, 1.08e+01)","6.93e-01","Pleural"
"15","CD11c(82)","9.78e-01 (1.10e-01, 8.71e+00)","9.84e-01","Pleural"
"16","CD56(82)","2.74e+00 (8.07e-02, 9.28e+01)","5.76e-01","Pleural"
"17","CD4(23)","3.19e-06 (1.82e-10, 5.59e-02)","1.11e-02","Peritoneal"
"18","CD8(23)","1.79e-01 (8.56e-04, 3.74e+01)","5.28e-01","Peritoneal"
"19","CK(23)","2.61e+00 (1.39e-01, 4.88e+01)","5.21e-01","Peritoneal"
"20","FOXP3(23)","8.83e+00 (2.79e-13, 2.80e+14)","8.91e-01","Peritoneal"
"21","CD20(23)","5.36e-09 (2.51e-39, 1.14e+22)","5.93e-01","Peritoneal"
"22","CD68(23)","9.74e-01 (7.96e-02, 1.19e+01)","9.83e-01","Peritoneal"
"23","CD11c(23)","1.43e+00 (5.74e-05, 3.56e+04)","9.45e-01","Peritoneal"
"24","CD56(23)","1.38e+00 (2.66e-05, 7.16e+04)","9.54e-01","Peritoneal"
