"","vars","hazards_conf","pvalues","casetypes"
"1","log(CD4)(43)","1.01e+00 (8.10e-01, 1.26e+00)","9.31e-01","All"
"2","log(CD8)(43)","9.69e-01 (7.77e-01, 1.21e+00)","7.84e-01","All"
"3","log(CK)(43)","8.51e-01 (7.22e-01, 1.00e+00)","5.35e-02","All"
"4","log(CD20)(43)","9.80e-01 (9.62e-01, 9.97e-01)","2.26e-02","All"
"5","log(FOXP3)(43)","1.02e+00 (9.95e-01, 1.06e+00)","1.09e-01","All"
"6","log(CD68)(43)","9.99e-01 (9.48e-01, 1.05e+00)","9.62e-01","All"
"7","log(CD11c)(43)","1.11e+00 (9.14e-01, 1.34e+00)","3.00e-01","All"
"8","log(CD56)(43)","1.09e+00 (8.52e-01, 1.40e+00)","4.88e-01","All"
"9","log(CD4)(31)","1.17e+00 (9.11e-01, 1.51e+00)","2.16e-01","Pleural"
"10","log(CD8)(31)","9.19e-01 (7.16e-01, 1.18e+00)","5.07e-01","Pleural"
"11","log(CK)(31)","8.73e-01 (7.36e-01, 1.04e+00)","1.22e-01","Pleural"
"12","log(CD20)(31)","9.90e-01 (9.70e-01, 1.01e+00)","3.13e-01","Pleural"
"13","log(FOXP3)(31)","1.01e+00 (9.70e-01, 1.05e+00)","7.13e-01","Pleural"
"14","log(CD68)(31)","1.00e+00 (9.52e-01, 1.06e+00)","9.16e-01","Pleural"
"15","log(CD11c)(31)","1.01e+00 (8.05e-01, 1.26e+00)","9.54e-01","Pleural"
"16","log(CD56)(31)","1.05e+00 (8.02e-01, 1.39e+00)","7.02e-01","Pleural"
"17","log(CD4)(12)","6.12e-01 (3.49e-01, 1.07e+00)","8.72e-02","Peritoneal"
"18","log(CD8)(12)","8.63e-01 (5.18e-01, 1.44e+00)","5.71e-01","Peritoneal"
"19","log(CK)(12)","7.48e-01 (2.73e-01, 2.05e+00)","5.72e-01","Peritoneal"
"20","log(CD20)(12)","9.58e-01 (9.18e-01, 1.00e+00)","5.20e-02","Peritoneal"
"21","log(FOXP3)(12)","1.03e+00 (9.81e-01, 1.09e+00)","2.08e-01","Peritoneal"
"22","log(CD68)(12)","1.06e+00 (7.51e-01, 1.51e+00)","7.28e-01","Peritoneal"
"23","log(CD11c)(12)","1.15e+00 (7.36e-01, 1.79e+00)","5.44e-01","Peritoneal"
"24","log(CD56)(12)","1.09e+00 (6.49e-01, 1.82e+00)","7.53e-01","Peritoneal"
