"","vars","hazards_conf","pvalues","casetypes"
"1","CD4(79)","1.16e+00 (1.10e-01, 1.23e+01)","9.02e-01","All"
"2","CD8(79)","9.00e-01 (3.42e-01, 2.37e+00)","8.31e-01","All"
"3","CK(79)","4.30e-01 (1.55e-01, 1.19e+00)","1.04e-01","All"
"4","CD20(79)","3.66e-05 (7.68e-12, 1.74e+02)","1.93e-01","All"
"5","FOXP3(79)","1.20e-01 (4.12e-05, 3.50e+02)","6.03e-01","All"
"6","CD68(79)","6.40e+00 (6.46e-01, 6.34e+01)","1.13e-01","All"
"7","CD11c(79)","6.91e-01 (5.98e-02, 7.99e+00)","7.67e-01","All"
"8","CD56(79)","9.17e-01 (1.18e-02, 7.14e+01)","9.69e-01","All"
"9","CD4(68)","4.45e+00 (5.04e-01, 3.93e+01)","1.79e-01","Pleural"
"10","CD8(68)","8.39e-01 (3.12e-01, 2.25e+00)","7.28e-01","Pleural"
"11","CK(68)","3.61e-01 (1.20e-01, 1.08e+00)","6.91e-02","Pleural"
"12","CD20(68)","5.61e-05 (1.80e-11, 1.75e+02)","2.00e-01","Pleural"
"13","FOXP3(68)","4.09e-02 (9.88e-06, 1.70e+02)","4.52e-01","Pleural"
"14","CD68(68)","4.02e+00 (3.58e-01, 4.50e+01)","2.60e-01","Pleural"
"15","CD11c(68)","7.73e-01 (6.90e-02, 8.65e+00)","8.34e-01","Pleural"
"16","CD56(68)","1.13e+00 (1.11e-02, 1.15e+02)","9.59e-01","Pleural"
"17","CD4(11)","6.41e-06 (5.69e-12, 7.23e+00)","9.26e-02","Peritoneal"
"18","CD8(11)","4.38e-01 (5.36e-04, 3.58e+02)","8.09e-01","Peritoneal"
"19","CK(11)","1.09e+00 (4.01e-02, 2.95e+01)","9.60e-01","Peritoneal"
"20","CD20(11)","5.85e-17 (5.43e-65, 6.31e+31)","5.08e-01","Peritoneal"
"21","FOXP3(11)","6.40e+03 (1.85e-12, 2.21e+19)","6.31e-01","Peritoneal"
"22","CD68(11)","1.35e+12 (2.99e+00, 6.05e+23)","4.13e-02","Peritoneal"
"23","CD11c(11)","1.39e-01 (9.11e-07, 2.13e+04)","7.46e-01","Peritoneal"
"24","CD56(11)","6.51e+00 (7.42e-06, 5.71e+06)","7.88e-01","Peritoneal"
