"","vars","hazards_conf","pvalues","casetypes"
"1","log(CD4)(91)","9.83e-01 (9.39e-01, 1.03e+00)","4.68e-01","All"
"2","log(CD8)(91)","9.84e-01 (8.37e-01, 1.16e+00)","8.43e-01","All"
"3","log(CK)(91)","8.57e-01 (7.34e-01, 1.00e+00)","5.28e-02","All"
"4","log(CD20)(91)","9.85e-01 (9.74e-01, 9.96e-01)","9.38e-03","All"
"5","log(FOXP3)(91)","1.01e+00 (9.90e-01, 1.04e+00)","2.48e-01","All"
"6","log(CD68)(91)","9.80e-01 (9.25e-01, 1.04e+00)","4.85e-01","All"
"7","log(CD11c)(91)","1.11e+00 (9.73e-01, 1.27e+00)","1.19e-01","All"
"8","log(CD56)(91)","1.06e+00 (9.00e-01, 1.26e+00)","4.73e-01","All"
"9","log(CD4)(70)","9.98e-01 (9.43e-01, 1.06e+00)","9.45e-01","Pleural"
"10","log(CD8)(70)","9.34e-01 (7.84e-01, 1.11e+00)","4.49e-01","Pleural"
"11","log(CK)(70)","8.81e-01 (7.49e-01, 1.03e+00)","1.23e-01","Pleural"
"12","log(CD20)(70)","9.90e-01 (9.78e-01, 1.00e+00)","1.08e-01","Pleural"
"13","log(FOXP3)(70)","9.89e-01 (9.60e-01, 1.02e+00)","4.44e-01","Pleural"
"14","log(CD68)(70)","9.81e-01 (9.24e-01, 1.04e+00)","5.24e-01","Pleural"
"15","log(CD11c)(70)","1.05e+00 (9.09e-01, 1.21e+00)","5.07e-01","Pleural"
"16","log(CD56)(70)","1.02e+00 (8.60e-01, 1.21e+00)","8.10e-01","Pleural"
"17","log(CD4)(21)","5.85e-01 (3.82e-01, 8.95e-01)","1.35e-02","Peritoneal"
"18","log(CD8)(21)","9.26e-01 (5.85e-01, 1.46e+00)","7.41e-01","Peritoneal"
"19","log(CK)(21)","1.10e+00 (5.08e-01, 2.39e+00)","8.06e-01","Peritoneal"
"20","log(CD20)(21)","9.83e-01 (9.60e-01, 1.01e+00)","1.80e-01","Peritoneal"
"21","log(FOXP3)(21)","1.04e+00 (9.85e-01, 1.09e+00)","1.69e-01","Peritoneal"
"22","log(CD68)(21)","1.16e+00 (8.67e-01, 1.55e+00)","3.17e-01","Peritoneal"
"23","log(CD11c)(21)","1.15e+00 (8.23e-01, 1.61e+00)","4.11e-01","Peritoneal"
"24","log(CD56)(21)","1.13e+00 (7.36e-01, 1.74e+00)","5.74e-01","Peritoneal"
