"","vars","hazards_conf","pvalues","casetypes"
"1","CD4(21)","4.08e-01 (6.59e-04, 2.53e+02)","7.85e-01","All"
"2","CD8(21)","8.62e+00 (1.96e-01, 3.78e+02)","2.64e-01","All"
"3","CK(21)","1.18e-02 (3.45e-04, 4.03e-01)","1.37e-02","All"
"4","CD20(21)","5.14e+01 (6.73e-07, 3.92e+09)","6.71e-01","All"
"5","FOXP3(21)","3.75e-07 (7.80e-18, 1.80e+04)","2.38e-01","All"
"6","CD68(21)","6.00e-01 (5.23e-02, 6.89e+00)","6.82e-01","All"
"7","CD11c(21)","2.16e+02 (6.96e-01, 6.69e+04)","6.63e-02","All"
"8","CD56(21)","8.92e+02 (5.71e-02, 1.39e+07)","1.68e-01","All"
"9","CD4(10)","1.19e+00 (8.59e-04, 1.64e+03)","9.63e-01","Pleural"
"10","CD8(10)","6.47e+00 (8.60e-02, 4.86e+02)","3.97e-01","Pleural"
"11","CK(10)","2.19e-03 (8.33e-06, 5.76e-01)","3.12e-02","Pleural"
"12","CD20(10)","6.19e-02 (3.69e-10, 1.04e+07)","7.73e-01","Pleural"
"13","FOXP3(10)","1.07e-15 (5.61e-39, 2.03e+08)","2.07e-01","Pleural"
"14","CD68(10)","2.16e-01 (2.39e-03, 1.94e+01)","5.04e-01","Pleural"
"15","CD11c(10)","6.79e+01 (9.10e-02, 5.06e+04)","2.11e-01","Pleural"
"16","CD56(10)","1.66e+01 (6.03e-04, 4.55e+05)","5.90e-01","Pleural"
"17","CD4(11)","4.68e-02 (5.22e-07, 4.19e+03)","5.99e-01","Peritoneal"
"18","CD8(11)","8.69e-01 (5.05e-05, 1.49e+04)","9.77e-01","Peritoneal"
"19","CK(11)","2.07e-01 (3.52e-04, 1.21e+02)","6.28e-01","Peritoneal"
"20","CD20(11)","1.77e+18 (2.27e-21, 1.38e+57)","3.58e-01","Peritoneal"
"21","FOXP3(11)","6.15e-14 (1.84e-40, 2.06e+13)","3.29e-01","Peritoneal"
"22","CD68(11)","9.40e-01 (4.11e-02, 2.15e+01)","9.69e-01","Peritoneal"
"23","CD11c(11)","5.76e+06 (2.46e-08, 1.35e+21)","3.56e-01","Peritoneal"
"24","CD56(11)","2.09e-05 (1.36e-35, 3.21e+25)","7.61e-01","Peritoneal"
