"","vars","hazards_conf","pvalues","casetypes"
"1","CD4(91)","9.13e-01 (6.50e-01, 1.28e+00)","6.02e-01","All"
"2","CD8(91)","9.93e-01 (7.32e-01, 1.35e+00)","9.64e-01","All"
"3","CK(91)","8.05e-01 (6.36e-01, 1.02e+00)","6.93e-02","All"
"4","CD20(91)","6.27e-02 (1.03e-03, 3.84e+00)","1.87e-01","All"
"5","FOXP3(91)","8.55e-06 (1.22e-28, 5.97e+17)","6.64e-01","All"
"6","CD68(91)","9.41e-01 (6.45e-01, 1.37e+00)","7.54e-01","All"
"7","CD11c(91)","1.09e+00 (8.01e-01, 1.48e+00)","5.89e-01","All"
"8","CD56(91)","2.64e-01 (3.92e-02, 1.78e+00)","1.71e-01","All"
"9","CD4(70)","1.10e+00 (8.16e-01, 1.47e+00)","5.43e-01","Pleural"
"10","CD8(70)","9.13e-01 (6.69e-01, 1.25e+00)","5.67e-01","Pleural"
"11","CK(70)","7.59e-01 (5.85e-01, 9.85e-01)","3.78e-02","Pleural"
"12","CD20(70)","2.68e-02 (4.29e-04, 1.68e+00)","8.63e-02","Pleural"
"13","FOXP3(70)","2.34e-08 (7.26e-32, 7.53e+15)","5.25e-01","Pleural"
"14","CD68(70)","1.25e+00 (7.29e-01, 2.14e+00)","4.18e-01","Pleural"
"15","CD11c(70)","1.02e+00 (7.46e-01, 1.38e+00)","9.17e-01","Pleural"
"16","CD56(70)","2.28e-01 (2.54e-02, 2.04e+00)","1.86e-01","Pleural"
"17","CD4(21)","9.23e-02 (2.02e-02, 4.22e-01)","2.12e-03","Peritoneal"
"18","CD8(21)","8.66e-01 (2.25e-01, 3.33e+00)","8.34e-01","Peritoneal"
"19","CK(21)","1.41e+00 (8.22e-01, 2.40e+00)","2.14e-01","Peritoneal"
"20","CD20(21)","1.29e+00 (1.16e-08, 1.44e+08)","9.78e-01","Peritoneal"
"21","FOXP3(21)","4.78e+16 (6.53e-50, 3.50e+82)","6.20e-01","Peritoneal"
"22","CD68(21)","9.82e-01 (5.35e-01, 1.80e+00)","9.54e-01","Peritoneal"
"23","CD11c(21)","9.32e-01 (2.25e-01, 3.85e+00)","9.22e-01","Peritoneal"
"24","CD56(21)","2.95e+01 (1.46e-01, 5.94e+03)","2.11e-01","Peritoneal"
