"","vars","hazards_conf","pvalues","casetypes"
"1","log(CD4)(79)","1.02e+00 (8.72e-01, 1.18e+00)","8.38e-01","All"
"2","log(CD8)(79)","1.00e+00 (8.57e-01, 1.17e+00)","9.91e-01","All"
"3","log(CK)(79)","8.83e-01 (7.66e-01, 1.02e+00)","8.80e-02","All"
"4","log(CD20)(79)","9.88e-01 (9.76e-01, 1.00e+00)","4.71e-02","All"
"5","log(FOXP3)(79)","1.02e+00 (9.95e-01, 1.04e+00)","1.19e-01","All"
"6","log(CD68)(79)","9.89e-01 (9.51e-01, 1.03e+00)","5.64e-01","All"
"7","log(CD11c)(79)","1.04e+00 (9.05e-01, 1.19e+00)","5.84e-01","All"
"8","log(CD56)(79)","1.07e+00 (9.06e-01, 1.27e+00)","4.13e-01","All"
"9","log(CD4)(68)","1.10e+00 (9.31e-01, 1.29e+00)","2.74e-01","Pleural"
"10","log(CD8)(68)","9.74e-01 (8.22e-01, 1.15e+00)","7.61e-01","Pleural"
"11","log(CK)(68)","8.79e-01 (7.59e-01, 1.02e+00)","8.39e-02","Pleural"
"12","log(CD20)(68)","9.92e-01 (9.79e-01, 1.00e+00)","1.87e-01","Pleural"
"13","log(FOXP3)(68)","1.00e+00 (9.76e-01, 1.03e+00)","9.55e-01","Pleural"
"14","log(CD68)(68)","9.86e-01 (9.50e-01, 1.02e+00)","4.74e-01","Pleural"
"15","log(CD11c)(68)","1.05e+00 (9.04e-01, 1.21e+00)","5.46e-01","Pleural"
"16","log(CD56)(68)","1.05e+00 (8.79e-01, 1.25e+00)","5.88e-01","Pleural"
"17","log(CD4)(11)","7.01e-01 (4.18e-01, 1.17e+00)","1.77e-01","Peritoneal"
"18","log(CD8)(11)","9.82e-01 (5.92e-01, 1.63e+00)","9.44e-01","Peritoneal"
"19","log(CK)(11)","9.13e-01 (3.84e-01, 2.17e+00)","8.38e-01","Peritoneal"
"20","log(CD20)(11)","9.78e-01 (9.45e-01, 1.01e+00)","2.19e-01","Peritoneal"
"21","log(FOXP3)(11)","1.04e+00 (9.88e-01, 1.10e+00)","1.34e-01","Peritoneal"
"22","log(CD68)(11)","1.47e+00 (7.41e-01, 2.91e+00)","2.72e-01","Peritoneal"
"23","log(CD11c)(11)","9.91e-01 (6.43e-01, 1.53e+00)","9.67e-01","Peritoneal"
"24","log(CD56)(11)","1.39e+00 (7.17e-01, 2.70e+00)","3.28e-01","Peritoneal"
