"","vars","hazards_conf","pvalues","casetypes"
"1","log(CD4)(70)","9.97e-01 (9.45e-01, 1.05e+00)","8.99e-01","All"
"2","log(CD8)(70)","9.62e-01 (7.96e-01, 1.16e+00)","6.86e-01","All"
"3","log(CK)(70)","8.39e-01 (7.28e-01, 9.68e-01)","1.59e-02","All"
"4","log(CD20)(70)","9.86e-01 (9.73e-01, 9.99e-01)","3.54e-02","All"
"5","log(FOXP3)(70)","1.01e+00 (9.84e-01, 1.04e+00)","4.88e-01","All"
"6","log(CD68)(70)","9.86e-01 (9.53e-01, 1.02e+00)","4.22e-01","All"
"7","log(CD11c)(70)","1.05e+00 (8.94e-01, 1.23e+00)","5.72e-01","All"
"8","log(CD56)(70)","1.08e+00 (8.72e-01, 1.34e+00)","4.72e-01","All"
"9","log(CD4)(58)","1.00e+00 (9.46e-01, 1.06e+00)","9.68e-01","Pleural"
"10","log(CD8)(58)","1.01e+00 (8.30e-01, 1.22e+00)","9.40e-01","Pleural"
"11","log(CK)(58)","8.53e-01 (7.35e-01, 9.90e-01)","3.61e-02","Pleural"
"12","log(CD20)(58)","9.90e-01 (9.76e-01, 1.00e+00)","1.83e-01","Pleural"
"13","log(FOXP3)(58)","1.01e+00 (9.81e-01, 1.04e+00)","4.98e-01","Pleural"
"14","log(CD68)(58)","9.90e-01 (9.54e-01, 1.03e+00)","5.78e-01","Pleural"
"15","log(CD11c)(58)","9.49e-01 (7.88e-01, 1.14e+00)","5.80e-01","Pleural"
"16","log(CD56)(58)","1.06e+00 (8.59e-01, 1.31e+00)","5.85e-01","Pleural"
"17","log(CD4)(12)","8.62e-01 (4.87e-01, 1.53e+00)","6.10e-01","Peritoneal"
"18","log(CD8)(12)","6.06e-01 (3.50e-01, 1.05e+00)","7.42e-02","Peritoneal"
"19","log(CK)(12)","7.04e-01 (2.39e-01, 2.08e+00)","5.25e-01","Peritoneal"
"20","log(CD20)(12)","9.75e-01 (9.39e-01, 1.01e+00)","1.95e-01","Peritoneal"
"21","log(FOXP3)(12)","1.00e+00 (9.49e-01, 1.06e+00)","9.60e-01","Peritoneal"
"22","log(CD68)(12)","8.41e-01 (5.37e-01, 1.32e+00)","4.50e-01","Peritoneal"
"23","log(CD11c)(12)","1.15e+00 (7.00e-01, 1.89e+00)","5.79e-01","Peritoneal"
"24","log(CD56)(12)","9.67e-01 (3.40e-01, 2.75e+00)","9.49e-01","Peritoneal"
