"","vars","hazards_conf","pvalues","casetypes"
"1","log(CD4)(33)","9.32e-01 (7.33e-01, 1.18e+00)","5.65e-01","All"
"2","log(CD8)(33)","1.07e+00 (8.08e-01, 1.42e+00)","6.30e-01","All"
"3","log(CK)(33)","7.44e-01 (5.89e-01, 9.38e-01)","1.24e-02","All"
"4","log(CD20)(33)","9.81e-01 (9.62e-01, 1.00e+00)","5.51e-02","All"
"5","log(FOXP3)(33)","1.03e+00 (9.92e-01, 1.06e+00)","1.28e-01","All"
"6","log(CD68)(33)","1.01e+00 (8.03e-01, 1.27e+00)","9.37e-01","All"
"7","log(CD11c)(33)","1.21e+00 (9.64e-01, 1.53e+00)","9.85e-02","All"
"8","log(CD56)(33)","1.44e+00 (1.02e+00, 2.04e+00)","3.73e-02","All"
"9","log(CD4)(20)","1.12e+00 (8.42e-01, 1.48e+00)","4.46e-01","Pleural"
"10","log(CD8)(20)","1.01e+00 (7.20e-01, 1.43e+00)","9.37e-01","Pleural"
"11","log(CK)(20)","7.62e-01 (5.98e-01, 9.72e-01)","2.88e-02","Pleural"
"12","log(CD20)(20)","9.74e-01 (9.44e-01, 1.00e+00)","8.71e-02","Pleural"
"13","log(FOXP3)(20)","1.01e+00 (9.65e-01, 1.06e+00)","6.31e-01","Pleural"
"14","log(CD68)(20)","9.63e-01 (7.16e-01, 1.30e+00)","8.05e-01","Pleural"
"15","log(CD11c)(20)","1.01e+00 (7.26e-01, 1.40e+00)","9.58e-01","Pleural"
"16","log(CD56)(20)","1.27e+00 (8.88e-01, 1.83e+00)","1.89e-01","Pleural"
"17","log(CD4)(13)","6.61e-01 (4.04e-01, 1.08e+00)","9.86e-02","Peritoneal"
"18","log(CD8)(13)","1.18e+00 (6.57e-01, 2.11e+00)","5.82e-01","Peritoneal"
"19","log(CK)(13)","6.40e-01 (1.56e-01, 2.63e+00)","5.36e-01","Peritoneal"
"20","log(CD20)(13)","9.92e-01 (9.62e-01, 1.02e+00)","6.14e-01","Peritoneal"
"21","log(FOXP3)(13)","1.03e+00 (9.81e-01, 1.09e+00)","2.23e-01","Peritoneal"
"22","log(CD68)(13)","1.08e+00 (7.50e-01, 1.55e+00)","6.80e-01","Peritoneal"
"23","log(CD11c)(13)","1.52e+00 (9.41e-01, 2.44e+00)","8.70e-02","Peritoneal"
"24","log(CD56)(13)","2.31e+00 (9.29e-01, 5.75e+00)","7.16e-02","Peritoneal"
