"","vars","hazards_conf","pvalues","casetypes"
"1","CD4(33)","9.83e-01 (5.50e-01, 1.76e+00)","9.55e-01","All"
"2","CD8(33)","1.09e+00 (6.30e-01, 1.89e+00)","7.57e-01","All"
"3","CK(33)","7.82e-01 (5.28e-01, 1.16e+00)","2.20e-01","All"
"4","CD20(33)","7.38e-02 (3.43e-05, 1.58e+02)","5.05e-01","All"
"5","FOXP3(33)","3.96e+03 (9.32e-27, 1.68e+33)","8.12e-01","All"
"6","CD68(33)","8.74e-01 (5.16e-01, 1.48e+00)","6.17e-01","All"
"7","CD11c(33)","1.25e+00 (7.41e-01, 2.10e+00)","4.05e-01","All"
"8","CD56(33)","4.57e+00 (1.65e-01, 1.26e+02)","3.70e-01","All"
"9","CD4(20)","1.31e+00 (8.42e-01, 2.05e+00)","2.30e-01","Pleural"
"10","CD8(20)","1.03e+00 (5.79e-01, 1.83e+00)","9.25e-01","Pleural"
"11","CK(20)","5.98e-01 (3.61e-01, 9.89e-01)","4.54e-02","Pleural"
"12","CD20(20)","2.04e-02 (6.66e-06, 6.27e+01)","3.42e-01","Pleural"
"13","FOXP3(20)","7.71e+01 (8.10e-29, 7.34e+31)","9.02e-01","Pleural"
"14","CD68(20)","9.20e-01 (3.84e-01, 2.20e+00)","8.51e-01","Pleural"
"15","CD11c(20)","1.23e+00 (7.25e-01, 2.08e+00)","4.47e-01","Pleural"
"16","CD56(20)","6.55e+00 (1.44e-01, 2.97e+02)","3.34e-01","Pleural"
"17","CD4(13)","1.01e-01 (1.54e-02, 6.59e-01)","1.66e-02","Peritoneal"
"18","CD8(13)","1.30e+00 (2.95e-01, 5.77e+00)","7.26e-01","Peritoneal"
"19","CK(13)","1.28e+00 (6.52e-01, 2.50e+00)","4.77e-01","Peritoneal"
"20","CD20(13)","8.75e+00 (4.48e-09, 1.71e+10)","8.43e-01","Peritoneal"
"21","FOXP3(13)","5.78e-08 (2.81e-89, 1.19e+74)","8.61e-01","Peritoneal"
"22","CD68(13)","8.76e-01 (4.25e-01, 1.80e+00)","7.19e-01","Peritoneal"
"23","CD11c(13)","9.57e-01 (1.92e-01, 4.77e+00)","9.57e-01","Peritoneal"
"24","CD56(13)","1.55e+01 (1.49e-02, 1.60e+04)","4.40e-01","Peritoneal"
