"","vars","hazards_conf","pvalues","casetypes"
"1","CD4(91)","8.21e-01 (8.47e-02, 7.96e+00)","8.65e-01","All"
"2","CD8(91)","1.02e+00 (3.91e-01, 2.66e+00)","9.68e-01","All"
"3","CK(91)","3.59e-01 (1.24e-01, 1.04e+00)","5.91e-02","All"
"4","CD20(91)","9.48e-03 (4.57e-08, 1.96e+03)","4.56e-01","All"
"5","FOXP3(91)","8.17e-02 (1.86e-05, 3.58e+02)","5.58e-01","All"
"6","CD68(91)","8.85e-01 (1.77e-01, 4.42e+00)","8.81e-01","All"
"7","CD11c(91)","1.65e+00 (1.91e-01, 1.43e+01)","6.47e-01","All"
"8","CD56(91)","1.37e+00 (1.92e-02, 9.71e+01)","8.86e-01","All"
"9","CD4(70)","4.17e+00 (5.12e-01, 3.39e+01)","1.82e-01","Pleural"
"10","CD8(70)","7.53e-01 (2.80e-01, 2.02e+00)","5.74e-01","Pleural"
"11","CK(70)","3.55e-01 (1.14e-01, 1.10e+00)","7.28e-02","Pleural"
"12","CD20(70)","9.47e-04 (3.91e-09, 2.29e+02)","2.71e-01","Pleural"
"13","FOXP3(70)","2.73e-02 (6.53e-06, 1.14e+02)","3.97e-01","Pleural"
"14","CD68(70)","3.31e+00 (3.01e-01, 3.64e+01)","3.28e-01","Pleural"
"15","CD11c(70)","9.74e-01 (1.06e-01, 8.97e+00)","9.81e-01","Pleural"
"16","CD56(70)","7.18e-01 (6.98e-03, 7.40e+01)","8.89e-01","Pleural"
"17","CD4(21)","4.33e-06 (2.32e-10, 8.09e-02)","1.38e-02","Peritoneal"
"18","CD8(21)","1.93e-01 (5.48e-04, 6.76e+01)","5.82e-01","Peritoneal"
"19","CK(21)","2.57e+00 (1.24e-01, 5.31e+01)","5.42e-01","Peritoneal"
"20","CD20(21)","2.90e-07 (1.01e-37, 8.34e+23)","6.74e-01","Peritoneal"
"21","FOXP3(21)","1.20e+02 (3.43e-12, 4.20e+15)","7.64e-01","Peritoneal"
"22","CD68(21)","1.15e+00 (9.00e-02, 1.47e+01)","9.15e-01","Peritoneal"
"23","CD11c(21)","1.73e+00 (6.40e-05, 4.65e+04)","9.16e-01","Peritoneal"
"24","CD56(21)","8.76e-01 (1.09e-05, 7.07e+04)","9.82e-01","Peritoneal"
