"","vars","hazards_conf","pvalues","casetypes"
"1","log(CD4)(21)","9.79e-01 (9.33e-01, 1.03e+00)","4.05e-01","All"
"2","log(CD8)(21)","1.21e+00 (6.61e-01, 2.23e+00)","5.33e-01","All"
"3","log(CK)(21)","5.67e-01 (3.55e-01, 9.05e-01)","1.75e-02","All"
"4","log(CD20)(21)","9.91e-01 (9.67e-01, 1.02e+00)","4.54e-01","All"
"5","log(FOXP3)(21)","8.16e-01 (6.17e-01, 1.08e+00)","1.53e-01","All"
"6","log(CD68)(21)","1.01e+00 (7.69e-01, 1.32e+00)","9.49e-01","All"
"7","log(CD11c)(21)","1.64e+00 (1.09e+00, 2.46e+00)","1.66e-02","All"
"8","log(CD56)(21)","1.24e+00 (7.94e-01, 1.94e+00)","3.43e-01","All"
"9","log(CD4)(10)","9.92e-01 (9.42e-01, 1.04e+00)","7.51e-01","Pleural"
"10","log(CD8)(10)","9.65e-01 (3.63e-01, 2.56e+00)","9.43e-01","Pleural"
"11","log(CK)(10)","5.19e-01 (2.85e-01, 9.45e-01)","3.20e-02","Pleural"
"12","log(CD20)(10)","9.86e-01 (9.52e-01, 1.02e+00)","4.17e-01","Pleural"
"13","log(FOXP3)(10)","8.79e-01 (6.71e-01, 1.15e+00)","3.51e-01","Pleural"
"14","log(CD68)(10)","7.92e-01 (5.09e-01, 1.23e+00)","3.02e-01","Pleural"
"15","log(CD11c)(10)","1.46e+00 (8.03e-01, 2.64e+00)","2.16e-01","Pleural"
"16","log(CD56)(10)","1.16e+00 (7.49e-01, 1.81e+00)","5.00e-01","Pleural"
"17","log(CD4)(11)","7.45e-01 (3.16e-01, 1.76e+00)","5.02e-01","Peritoneal"
"18","log(CD8)(11)","1.01e+00 (4.18e-01, 2.45e+00)","9.78e-01","Peritoneal"
"19","log(CK)(11)","8.60e-01 (1.94e-01, 3.82e+00)","8.43e-01","Peritoneal"
"20","log(CD20)(11)","1.03e+00 (9.72e-01, 1.09e+00)","3.09e-01","Peritoneal"
"21","log(FOXP3)(11)","7.80e-01 (4.50e-01, 1.35e+00)","3.77e-01","Peritoneal"
"22","log(CD68)(11)","1.11e+00 (7.60e-01, 1.62e+00)","5.93e-01","Peritoneal"
"23","log(CD11c)(11)","1.55e+00 (7.85e-01, 3.04e+00)","2.07e-01","Peritoneal"
"24","log(CD56)(11)","9.43e-01 (3.65e-01, 2.44e+00)","9.03e-01","Peritoneal"
