"","vars","hazards_conf","pvalues","casetypes"
"1","log(CD4)(31)","7.94e-01 (5.89e-01, 1.07e+00)","1.30e-01","All"
"2","log(CD8)(31)","1.07e+00 (8.12e-01, 1.42e+00)","6.18e-01","All"
"3","log(CK)(31)","8.49e-01 (6.17e-01, 1.17e+00)","3.14e-01","All"
"4","log(CD20)(31)","9.86e-01 (9.68e-01, 1.00e+00)","1.47e-01","All"
"5","log(FOXP3)(31)","1.03e+00 (9.81e-01, 1.08e+00)","2.44e-01","All"
"6","log(CD68)(31)","1.07e+00 (8.33e-01, 1.38e+00)","5.90e-01","All"
"7","log(CD11c)(31)","1.25e+00 (9.67e-01, 1.62e+00)","8.86e-02","All"
"8","log(CD56)(31)","1.16e+00 (8.96e-01, 1.50e+00)","2.63e-01","All"
"9","log(CD4)(21)","1.01e+00 (7.21e-01, 1.43e+00)","9.38e-01","Pleural"
"10","log(CD8)(21)","9.54e-01 (6.88e-01, 1.32e+00)","7.78e-01","Pleural"
"11","log(CK)(21)","8.60e-01 (6.16e-01, 1.20e+00)","3.75e-01","Pleural"
"12","log(CD20)(21)","9.93e-01 (9.71e-01, 1.02e+00)","5.48e-01","Pleural"
"13","log(FOXP3)(21)","8.77e-01 (7.64e-01, 1.01e+00)","6.54e-02","Pleural"
"14","log(CD68)(21)","9.69e-01 (7.44e-01, 1.26e+00)","8.17e-01","Pleural"
"15","log(CD11c)(21)","1.40e+00 (9.97e-01, 1.96e+00)","5.22e-02","Pleural"
"16","log(CD56)(21)","1.08e+00 (8.17e-01, 1.44e+00)","5.75e-01","Pleural"
"17","log(CD4)(10)","4.03e-01 (1.88e-01, 8.63e-01)","1.94e-02","Peritoneal"
"18","log(CD8)(10)","1.31e+00 (6.79e-01, 2.51e+00)","4.24e-01","Peritoneal"
"19","log(CK)(10)","1.36e+00 (3.73e-01, 4.92e+00)","6.44e-01","Peritoneal"
"20","log(CD20)(10)","9.77e-01 (9.43e-01, 1.01e+00)","2.09e-01","Peritoneal"
"21","log(FOXP3)(10)","1.11e+00 (8.93e-01, 1.38e+00)","3.49e-01","Peritoneal"
"22","log(CD68)(10)","1.24e+00 (7.03e-01, 2.19e+00)","4.55e-01","Peritoneal"
"23","log(CD11c)(10)","1.20e+00 (7.36e-01, 1.95e+00)","4.66e-01","Peritoneal"
"24","log(CD56)(10)","1.41e+00 (7.91e-01, 2.51e+00)","2.45e-01","Peritoneal"
