"","vars","hazards_conf","pvalues","casetypes"
"1","CD4(31)","2.54e-02 (1.10e-04, 5.84e+00)","1.86e-01","All"
"2","CD8(31)","2.01e+00 (4.21e-01, 9.61e+00)","3.81e-01","All"
"3","CK(31)","7.34e-01 (9.90e-02, 5.44e+00)","7.62e-01","All"
"4","CD20(31)","6.55e-02 (3.28e-12, 1.31e+09)","8.22e-01","All"
"5","FOXP3(31)","3.15e-01 (5.82e-06, 1.71e+04)","8.36e-01","All"
"6","CD68(31)","9.66e-01 (4.20e-02, 2.22e+01)","9.83e-01","All"
"7","CD11c(31)","4.46e+01 (7.19e-02, 2.77e+04)","2.47e-01","All"
"8","CD56(31)","2.42e+00 (1.32e-02, 4.42e+02)","7.40e-01","All"
"9","CD4(21)","1.83e+00 (2.51e-02, 1.33e+02)","7.82e-01","Pleural"
"10","CD8(21)","1.57e+00 (3.09e-01, 7.95e+00)","5.87e-01","Pleural"
"11","CK(21)","8.15e-01 (1.03e-01, 6.43e+00)","8.46e-01","Pleural"
"12","CD20(21)","5.50e-03 (2.60e-13, 1.16e+08)","6.68e-01","Pleural"
"13","FOXP3(21)","2.00e-02 (3.60e-07, 1.11e+03)","4.83e-01","Pleural"
"14","CD68(21)","4.24e-01 (9.74e-03, 1.84e+01)","6.56e-01","Pleural"
"15","CD11c(21)","6.63e+03 (2.18e+00, 2.02e+07)","3.15e-02","Pleural"
"16","CD56(21)","1.13e+00 (4.58e-03, 2.78e+02)","9.66e-01","Pleural"
"17","CD4(10)","2.84e-12 (2.50e-22, 3.21e-02)","2.44e-02","Peritoneal"
"18","CD8(10)","2.09e+00 (2.25e-03, 1.95e+03)","8.32e-01","Peritoneal"
"19","CK(10)","7.82e+00 (2.13e-02, 2.88e+03)","4.95e-01","Peritoneal"
"20","CD20(10)","9.30e-03 (2.19e-47, 3.94e+42)","9.29e-01","Peritoneal"
"21","FOXP3(10)","2.75e+05 (1.01e-12, 7.48e+22)","5.41e-01","Peritoneal"
"22","CD68(10)","1.50e+00 (2.83e-03, 7.98e+02)","8.98e-01","Peritoneal"
"23","CD11c(10)","7.15e+00 (3.63e-05, 1.41e+06)","7.52e-01","Peritoneal"
"24","CD56(10)","2.01e+01 (3.52e-05, 1.14e+07)","6.57e-01","Peritoneal"
