"","vars","hazards_conf","pvalues","casetypes"
"1","CD4(43)","1.04e+00 (5.40e-01, 2.01e+00)","9.04e-01","All"
"2","CD8(43)","9.87e-01 (6.31e-01, 1.54e+00)","9.53e-01","All"
"3","CK(43)","7.01e-01 (4.83e-01, 1.02e+00)","6.25e-02","All"
"4","CD20(43)","4.53e-02 (8.73e-05, 2.35e+01)","3.32e-01","All"
"5","FOXP3(43)","5.95e+10 (5.22e-59, 6.77e+79)","7.60e-01","All"
"6","CD68(43)","9.05e-01 (5.34e-01, 1.53e+00)","7.11e-01","All"
"7","CD11c(43)","1.13e+00 (7.43e-01, 1.73e+00)","5.64e-01","All"
"8","CD56(43)","1.25e+00 (7.83e-02, 2.00e+01)","8.73e-01","All"
"9","CD4(31)","1.93e+00 (9.58e-01, 3.88e+00)","6.59e-02","Pleural"
"10","CD8(31)","9.05e-01 (5.70e-01, 1.44e+00)","6.71e-01","Pleural"
"11","CK(31)","5.41e-01 (3.22e-01, 9.09e-01)","2.04e-02","Pleural"
"12","CD20(31)","5.99e-02 (1.88e-04, 1.91e+01)","3.38e-01","Pleural"
"13","FOXP3(31)","3.15e+12 (1.49e-76, 6.67e+100)","7.82e-01","Pleural"
"14","CD68(31)","2.33e+00 (6.15e-01, 8.82e+00)","2.14e-01","Pleural"
"15","CD11c(31)","1.03e+00 (6.71e-01, 1.57e+00)","9.06e-01","Pleural"
"16","CD56(31)","5.37e-01 (2.26e-02, 1.28e+01)","7.01e-01","Pleural"
"17","CD4(12)","1.17e-01 (1.45e-02, 9.34e-01)","4.29e-02","Peritoneal"
"18","CD8(12)","7.72e-01 (1.69e-01, 3.52e+00)","7.38e-01","Peritoneal"
"19","CK(12)","1.24e+00 (6.44e-01, 2.38e+00)","5.22e-01","Peritoneal"
"20","CD20(12)","4.51e-02 (1.42e-12, 1.43e+09)","8.02e-01","Peritoneal"
"21","FOXP3(12)","2.63e+43 (4.92e-82, 1.40e+168)","4.95e-01","Peritoneal"
"22","CD68(12)","8.97e-01 (4.42e-01, 1.82e+00)","7.64e-01","Peritoneal"
"23","CD11c(12)","8.78e-01 (1.17e-01, 6.60e+00)","9.00e-01","Peritoneal"
"24","CD56(12)","2.91e+01 (4.63e-02, 1.83e+04)","3.05e-01","Peritoneal"
