"","vars","hazards_conf","pvalues","casetypes"
"1","CD4(43)","8.09e-01 (1.72e-02, 3.80e+01)","9.14e-01","All"
"2","CD8(43)","9.00e-01 (2.00e-01, 4.06e+00)","8.91e-01","All"
"3","CK(43)","1.61e-01 (3.34e-02, 7.76e-01)","2.29e-02","All"
"4","CD20(43)","9.07e-04 (2.79e-12, 2.95e+05)","4.84e-01","All"
"5","FOXP3(43)","5.21e+01 (1.79e-10, 1.52e+13)","7.69e-01","All"
"6","CD68(43)","9.22e-01 (1.30e-01, 6.56e+00)","9.35e-01","All"
"7","CD11c(43)","9.71e-01 (6.38e-02, 1.48e+01)","9.83e-01","All"
"8","CD56(43)","1.69e+00 (1.03e-02, 2.77e+02)","8.40e-01","All"
"9","CD4(31)","5.04e+01 (7.22e-01, 3.51e+03)","7.04e-02","Pleural"
"10","CD8(31)","6.20e-01 (1.28e-01, 3.01e+00)","5.53e-01","Pleural"
"11","CK(31)","1.09e-01 (1.80e-02, 6.66e-01)","1.63e-02","Pleural"
"12","CD20(31)","3.96e-04 (3.83e-12, 4.09e+04)","4.05e-01","Pleural"
"13","FOXP3(31)","8.12e-03 (4.54e-21, 1.45e+16)","8.22e-01","Pleural"
"14","CD68(31)","4.41e+00 (2.41e-01, 8.06e+01)","3.17e-01","Pleural"
"15","CD11c(31)","5.09e-01 (3.07e-02, 8.43e+00)","6.37e-01","Pleural"
"16","CD56(31)","8.19e-01 (2.95e-03, 2.28e+02)","9.44e-01","Pleural"
"17","CD4(12)","5.04e-06 (9.68e-12, 2.62e+00)","6.93e-02","Peritoneal"
"18","CD8(12)","2.58e-01 (4.54e-04, 1.47e+02)","6.75e-01","Peritoneal"
"19","CK(12)","1.60e+00 (8.67e-03, 2.97e+02)","8.59e-01","Peritoneal"
"20","CD20(12)","4.26e-12 (2.17e-57, 8.36e+33)","6.23e-01","Peritoneal"
"21","FOXP3(12)","7.32e+07 (6.66e-09, 8.03e+23)","3.37e-01","Peritoneal"
"22","CD68(12)","7.39e-01 (3.85e-02, 1.42e+01)","8.41e-01","Peritoneal"
"23","CD11c(12)","1.86e+00 (1.86e-05, 1.85e+05)","9.16e-01","Peritoneal"
"24","CD56(12)","7.37e+00 (2.94e-05, 1.85e+06)","7.53e-01","Peritoneal"
