"","vars","hazards_conf","pvalues","casetypes"
"1","CD4(31)","5.58e-01 (2.61e-01, 1.19e+00)","1.31e-01","All"
"2","CD8(31)","1.21e+00 (7.18e-01, 2.05e+00)","4.70e-01","All"
"3","CK(31)","9.87e-01 (6.78e-01, 1.44e+00)","9.48e-01","All"
"4","CD20(31)","2.24e-02 (3.70e-06, 1.35e+02)","3.92e-01","All"
"5","FOXP3(31)","1.02e-04 (1.24e-40, 8.37e+31)","8.28e-01","All"
"6","CD68(31)","9.39e-01 (4.49e-01, 1.97e+00)","8.68e-01","All"
"7","CD11c(31)","1.27e+00 (7.60e-01, 2.13e+00)","3.59e-01","All"
"8","CD56(31)","6.87e-01 (3.02e-02, 1.56e+01)","8.13e-01","All"
"9","CD4(21)","8.54e-01 (4.36e-01, 1.67e+00)","6.46e-01","Pleural"
"10","CD8(21)","1.03e+00 (5.82e-01, 1.83e+00)","9.14e-01","Pleural"
"11","CK(21)","9.17e-01 (5.92e-01, 1.42e+00)","6.96e-01","Pleural"
"12","CD20(21)","8.21e-03 (1.52e-06, 4.43e+01)","2.73e-01","Pleural"
"13","FOXP3(21)","1.45e-12 (5.37e-51, 3.90e+26)","5.46e-01","Pleural"
"14","CD68(21)","7.64e-01 (3.40e-01, 1.72e+00)","5.14e-01","Pleural"
"15","CD11c(21)","1.17e+00 (6.88e-01, 2.00e+00)","5.58e-01","Pleural"
"16","CD56(21)","1.16e+00 (4.35e-02, 3.09e+01)","9.29e-01","Pleural"
"17","CD4(10)","5.11e-02 (4.18e-03, 6.24e-01)","1.99e-02","Peritoneal"
"18","CD8(10)","1.79e+00 (2.95e-01, 1.09e+01)","5.26e-01","Peritoneal"
"19","CK(10)","1.60e+00 (7.71e-01, 3.31e+00)","2.07e-01","Peritoneal"
"20","CD20(10)","1.84e+01 (4.35e-13, 7.81e+14)","8.56e-01","Peritoneal"
"21","FOXP3(10)","4.96e+09 (3.06e-79, 8.03e+97)","8.29e-01","Peritoneal"
"22","CD68(10)","1.11e+00 (1.68e-01, 7.38e+00)","9.11e-01","Peritoneal"
"23","CD11c(10)","9.39e-01 (1.07e-01, 8.22e+00)","9.55e-01","Peritoneal"
"24","CD56(10)","6.23e+00 (3.12e-03, 1.24e+04)","6.37e-01","Peritoneal"
