"","vars","hazards_conf","pvalues","casetypes"
"1","CD4(21)","4.55e-01 (1.60e-01, 1.30e+00)","1.41e-01","All"
"2","CD8(21)","1.12e+00 (3.38e-01, 3.73e+00)","8.49e-01","All"
"3","CK(21)","4.75e-01 (2.41e-01, 9.38e-01)","3.19e-02","All"
"4","CD20(21)","2.74e-01 (5.67e-05, 1.33e+03)","7.65e-01","All"
"5","FOXP3(21)","9.93e-49 (8.04e-109, 1.23e+12)","1.17e-01","All"
"6","CD68(21)","7.65e-01 (4.09e-01, 1.43e+00)","4.00e-01","All"
"7","CD11c(21)","1.30e+00 (5.66e-01, 3.00e+00)","5.33e-01","All"
"8","CD56(21)","1.65e-01 (2.29e-03, 1.19e+01)","4.09e-01","All"
"9","CD4(10)","7.43e-01 (3.07e-01, 1.80e+00)","5.09e-01","Pleural"
"10","CD8(10)","1.31e+00 (3.34e-01, 5.12e+00)","7.00e-01","Pleural"
"11","CK(10)","3.92e-01 (1.61e-01, 9.54e-01)","3.91e-02","Pleural"
"12","CD20(10)","2.65e-02 (3.55e-06, 1.98e+02)","4.25e-01","Pleural"
"13","FOXP3(10)","4.06e-49 (1.71e-108, 9.67e+10)","1.10e-01","Pleural"
"14","CD68(10)","4.26e-01 (1.11e-01, 1.63e+00)","2.13e-01","Pleural"
"15","CD11c(10)","1.29e+00 (5.63e-01, 2.97e+00)","5.45e-01","Pleural"
"16","CD56(10)","6.55e-02 (7.18e-05, 5.98e+01)","4.33e-01","Pleural"
"17","CD4(11)","1.04e-01 (1.03e-02, 1.06e+00)","5.57e-02","Peritoneal"
"18","CD8(11)","9.49e-01 (1.13e-01, 7.98e+00)","9.61e-01","Peritoneal"
"19","CK(11)","7.14e-01 (1.43e-01, 3.57e+00)","6.82e-01","Peritoneal"
"20","CD20(11)","7.43e+00 (2.48e-10, 2.23e+11)","8.71e-01","Peritoneal"
"21","FOXP3(11)","1.60e-98 (1.46e-235, 1.76e+39)","1.62e-01","Peritoneal"
"22","CD68(11)","9.26e-01 (4.39e-01, 1.95e+00)","8.40e-01","Peritoneal"
"23","CD11c(11)","6.01e-01 (3.54e-02, 1.02e+01)","7.25e-01","Peritoneal"
"24","CD56(11)","9.96e-01 (2.10e-03, 4.72e+02)","9.99e-01","Peritoneal"
