"","vars","hazards_conf","pvalues","casetypes"
"1","CD4(33)","1.07e+00 (2.27e-02, 5.08e+01)","9.71e-01","All"
"2","CD8(33)","1.62e+00 (2.69e-01, 9.78e+00)","5.97e-01","All"
"3","CK(33)","1.75e-01 (2.53e-02, 1.21e+00)","7.79e-02","All"
"4","CD20(33)","6.79e-03 (1.95e-13, 2.37e+08)","6.87e-01","All"
"5","FOXP3(33)","2.36e-01 (3.12e-07, 1.78e+05)","8.34e-01","All"
"6","CD68(33)","5.76e-01 (4.99e-02, 6.65e+00)","6.59e-01","All"
"7","CD11c(33)","3.55e+00 (1.94e-01, 6.47e+01)","3.93e-01","All"
"8","CD56(33)","1.63e+05 (3.01e+01, 8.88e+08)","6.23e-03","All"
"9","CD4(20)","2.36e+01 (8.00e-01, 6.94e+02)","6.72e-02","Pleural"
"10","CD8(20)","1.18e+00 (1.81e-01, 7.69e+00)","8.62e-01","Pleural"
"11","CK(20)","1.37e-01 (1.75e-02, 1.07e+00)","5.84e-02","Pleural"
"12","CD20(20)","2.22e-05 (6.79e-17, 7.23e+06)","4.28e-01","Pleural"
"13","FOXP3(20)","9.86e-03 (3.78e-09, 2.57e+04)","5.40e-01","Pleural"
"14","CD68(20)","4.73e-01 (4.56e-03, 4.91e+01)","7.52e-01","Pleural"
"15","CD11c(20)","1.71e+00 (7.43e-02, 3.95e+01)","7.37e-01","Pleural"
"16","CD56(20)","3.61e+03 (2.18e-01, 5.96e+07)","9.84e-02","Pleural"
"17","CD4(13)","2.40e-04 (1.21e-08, 4.74e+00)","9.86e-02","Peritoneal"
"18","CD8(13)","8.55e+00 (2.67e-03, 2.73e+04)","6.02e-01","Peritoneal"
"19","CK(13)","6.07e-01 (2.54e-03, 1.45e+02)","8.58e-01","Peritoneal"
"20","CD20(13)","4.94e+08 (2.64e-23, 9.22e+39)","5.86e-01","Peritoneal"
"21","FOXP3(13)","2.09e+03 (3.89e-14, 1.13e+20)","6.97e-01","Peritoneal"
"22","CD68(13)","7.51e-01 (3.39e-02, 1.66e+01)","8.56e-01","Peritoneal"
"23","CD11c(13)","2.65e+02 (2.42e-03, 2.89e+07)","3.46e-01","Peritoneal"
"24","CD56(13)","3.37e+18 (3.99e+03, 2.85e+33)","1.50e-02","Peritoneal"
