"","vars","hazards_conf","pvalues","casetypes"
"1","CD4(79)","1.01e+00 (7.28e-01, 1.40e+00)","9.60e-01","All"
"2","CD8(79)","9.90e-01 (7.34e-01, 1.34e+00)","9.48e-01","All"
"3","CK(79)","8.45e-01 (6.71e-01, 1.06e+00)","1.53e-01","All"
"4","CD20(79)","1.94e-02 (2.03e-04, 1.86e+00)","9.02e-02","All"
"5","FOXP3(79)","1.12e+00 (4.70e-22, 2.69e+21)","9.96e-01","All"
"6","CD68(79)","1.44e+00 (8.54e-01, 2.41e+00)","1.73e-01","All"
"7","CD11c(79)","1.06e+00 (7.79e-01, 1.45e+00)","7.04e-01","All"
"8","CD56(79)","7.47e-01 (1.01e-01, 5.51e+00)","7.75e-01","All"
"9","CD4(68)","1.10e+00 (8.10e-01, 1.50e+00)","5.33e-01","Pleural"
"10","CD8(68)","9.48e-01 (6.94e-01, 1.30e+00)","7.39e-01","Pleural"
"11","CK(68)","7.61e-01 (5.86e-01, 9.89e-01)","4.11e-02","Pleural"
"12","CD20(68)","1.53e-02 (1.65e-04, 1.42e+00)","7.05e-02","Pleural"
"13","FOXP3(68)","1.51e-06 (8.36e-30, 2.73e+17)","6.24e-01","Pleural"
"14","CD68(68)","1.30e+00 (7.52e-01, 2.25e+00)","3.48e-01","Pleural"
"15","CD11c(68)","1.03e+00 (7.46e-01, 1.41e+00)","8.72e-01","Pleural"
"16","CD56(68)","5.55e-01 (6.76e-02, 4.55e+00)","5.83e-01","Pleural"
"17","CD4(11)","2.88e-01 (4.87e-02, 1.70e+00)","1.70e-01","Peritoneal"
"18","CD8(11)","1.08e+00 (2.09e-01, 5.61e+00)","9.24e-01","Peritoneal"
"19","CK(11)","1.21e+00 (6.98e-01, 2.11e+00)","4.94e-01","Peritoneal"
"20","CD20(11)","2.62e+00 (2.45e-13, 2.80e+13)","9.50e-01","Peritoneal"
"21","FOXP3(11)","2.67e+58 (2.16e-39, 3.31e+155)","2.38e-01","Peritoneal"
"22","CD68(11)","2.59e+03 (1.21e+00, 5.55e+06)","4.47e-02","Peritoneal"
"23","CD11c(11)","1.06e+00 (1.10e-01, 1.02e+01)","9.60e-01","Peritoneal"
"24","CD56(11)","1.65e+03 (1.74e-01, 1.57e+07)","1.13e-01","Peritoneal"
