"","vars","hazards_conf","pvalues","casetypes"
"1","CD4(70)","1.04e+00 (7.42e-01, 1.46e+00)","8.17e-01","All"
"2","CD8(70)","9.77e-01 (6.80e-01, 1.40e+00)","9.01e-01","All"
"3","CK(70)","6.63e-01 (4.95e-01, 8.88e-01)","5.80e-03","All"
"4","CD20(70)","2.22e-01 (3.30e-03, 1.49e+01)","4.83e-01","All"
"5","FOXP3(70)","4.66e-07 (1.51e-31, 1.43e+18)","6.12e-01","All"
"6","CD68(70)","8.06e-01 (5.19e-01, 1.25e+00)","3.35e-01","All"
"7","CD11c(70)","1.08e+00 (7.51e-01, 1.54e+00)","6.92e-01","All"
"8","CD56(70)","5.85e-01 (6.21e-02, 5.52e+00)","6.40e-01","All"
"9","CD4(58)","1.10e+00 (7.98e-01, 1.51e+00)","5.63e-01","Pleural"
"10","CD8(58)","1.00e+00 (7.02e-01, 1.43e+00)","9.85e-01","Pleural"
"11","CK(58)","6.22e-01 (4.53e-01, 8.55e-01)","3.48e-03","Pleural"
"12","CD20(58)","5.47e-02 (5.51e-04, 5.44e+00)","2.16e-01","Pleural"
"13","FOXP3(58)","6.71e-13 (3.51e-38, 1.28e+13)","3.45e-01","Pleural"
"14","CD68(58)","1.35e+00 (6.85e-01, 2.68e+00)","3.83e-01","Pleural"
"15","CD11c(58)","1.08e+00 (7.55e-01, 1.53e+00)","6.84e-01","Pleural"
"16","CD56(58)","3.20e-01 (2.39e-02, 4.29e+00)","3.89e-01","Pleural"
"17","CD4(12)","2.60e-01 (4.40e-02, 1.54e+00)","1.37e-01","Peritoneal"
"18","CD8(12)","3.17e-01 (4.10e-02, 2.45e+00)","2.71e-01","Peritoneal"
"19","CK(12)","1.33e+00 (4.48e-01, 3.97e+00)","6.05e-01","Peritoneal"
"20","CD20(12)","8.99e+05 (1.33e-04, 6.09e+15)","2.35e-01","Peritoneal"
"21","FOXP3(12)","8.42e+31 (9.80e-95, 7.23e+157)","6.19e-01","Peritoneal"
"22","CD68(12)","5.65e-01 (2.27e-01, 1.41e+00)","2.20e-01","Peritoneal"
"23","CD11c(12)","2.77e-01 (2.67e-02, 2.87e+00)","2.82e-01","Peritoneal"
"24","CD56(12)","2.43e+02 (1.86e-01, 3.19e+05)","1.34e-01","Peritoneal"
